"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","JSONPlaceholder - Posts","8","0","","0"
"0","","0","JSONPlaceholder - Albums & Photos","6","0","","0"
"0","","0","JSONPlaceholder - Users","3","0","","0"
"0","","0","","16","0","","0"
"0","","0","Cart/Checkout","2","0","","0"
"0","","0","JSONPlaceholder - Comments","3","0","","0"
"0","","0","JSONPlaceholder - Todos","3","0","","0"
"1","","0","Products","4","0","","0"
"0","","0","Checkout","5","0","","0"
"0","","0","Login","3","0","","0"
